t,x,y,z,exec_clr,status
0.0,0.0,0.0,2.0,9.6,1
0.02,4.8040301684926185e-06,0.0,2.0,9.59999519596983,1
0.04,3.818291254963351e-05,0.0,2.0,9.59996181708745,1
0.06,0.00012802876808523712,0.0,2.0,9.599871971231915,1
0.08,0.0003014948248648982,0.0,2.0,9.599698505175136,1
0.1,0.0005850019135135503,0.0,2.0,9.599414998086486,1
0.12000000000000001,0.0010042449625790241,0.0,2.0,9.598995755037421,1
0.14,0.0015841994939196084,0.0,2.0,9.59841580050608,1
0.16,0.0023491281180916044,0.0,2.0,9.597650871881909,1
0.18,0.003322587029736889,0.0,2.0,9.596677412970262,1
0.19999999999999998,0.004527432502970473,0.0,2.0,9.59547256749703,1
0.21999999999999997,0.0059858273867680525,0.0,2.0,9.594014172613232,1
0.23999999999999996,0.0077192476003535805,0.0,2.0,9.592280752399645,1
0.25999999999999995,0.00974848862858682,0.0,2.0,9.590251511371413,1
0.27999999999999997,0.012093672017350895,0.0,2.0,9.58790632798265,1
0.3,0.014774251868939848,0.0,2.0,9.58522574813106,1
0.32,0.01780902133744624,0.0,2.0,9.582190978662553,1
0.34,0.021216119124148624,0.0,2.0,9.578783880875852,1
0.36000000000000004,0.0250130359728992,0.0,2.0,9.5749869640271,1
0.38000000000000006,0.029216621165511315,0.0,2.0,9.570783378834488,1
0.4000000000000001,0.03384308901714704,0.0,2.0,9.566156910982853,1
0.4200000000000001,0.038908025371704694,0.0,2.0,9.561091974628296,1
0.4400000000000001,0.04442639409720648,0.0,2.0,9.555573605902794,1
0.46000000000000013,0.05041254358118597,0.0,2.0,9.549587456418813,1
0.48000000000000015,0.05688021322607569,0.0,2.0,9.543119786773923,1
0.5000000000000001,0.0638421037811806,1.2184412624594847e-06,2.000000081229418,9.53615789621882,1
0.5200000000000001,0.07130860733802023,9.678864471434403e-06,2.0000006452576313,9.52869139266198,1
0.5400000000000001,0.07928917779383425,3.243529544716583e-05,2.0000021623530304,9.520710822206166,1
0.5600000000000002,0.08779278044188865,7.633848332952849e-05,2.0000050892322228,9.51220721955811,1
0.5800000000000002,0.09682789734471106,0.00014803784358115695,2.000009869189574,9.503172102655288,1
0.6000000000000002,0.10640248927483126,0.0002539610311786107,2.0000169307354154,9.493597510725168,1
0.6200000000000002,0.11652387494856135,0.0004002505310777034,2.0000266833687452,9.483476125051439,1
0.6400000000000002,0.1271988738976761,0.0005928357563031172,2.0000395223837653,9.472801126102324,1
0.6600000000000003,0.13843385615506898,0.0008374577389324509,2.000055830515949,9.46156614384493,1
0.6800000000000003,0.15023474746000723,0.001139671008830333,2.0000759780672874,9.449765252539992,1
0.7000000000000003,0.1626069997692241,0.0015048219442868127,2.0001003214630004,9.437393000230776,1
0.7200000000000003,0.17555549627559158,0.0019379819685598869,2.0001291987979717,9.424444503724407,1
0.7400000000000003,0.1890846674375253,0.0024440233095163527,2.0001629348873924,9.410915332562475,1
0.7600000000000003,0.20319853169156782,0.003027644814329256,2.0002018429877406,9.396801468308432,1
0.7800000000000004,0.2179007004883691,0.00369337375699486,2.000246224917282,9.38209929951163,1
0.8000000000000004,0.23319435455102117,0.004445561839952093,2.0002963707895125,9.366805645448979,1
0.8200000000000004,0.24908216639149258,0.0052883705311306305,2.0003525580356247,9.350917833608507,1
0.8400000000000004,0.2655663982734909,0.006225791925710988,2.000415052795294,9.33443360172651,1
0.8600000000000004,0.2826489368116159,0.007261656551819826,2.000484110437061,9.317351063188383,1
0.8800000000000004,0.30033129783068585,0.008399635131178387,2.0005599756757046,9.299668702169313,1
0.9000000000000005,0.3186146191232623,0.009643215392974205,2.000642881026503,9.281385380876737,1
0.9200000000000005,0.3374996320768561,0.010995631155509765,2.0007330420773455,9.262500367923144,1
0.9400000000000005,0.3569867081427141,0.012459942671142707,2.0008306628450625,9.243013291857286,1
0.9600000000000005,0.37707587640866563,0.01403906379304745,2.0009359375865317,9.222924123591334,1
0.9800000000000005,0.39776682829360605,0.015735763650604497,2.0010490509103853,9.202233171706393,1
1.0000000000000004,0.4190589235312694,0.017552643483989726,2.0011701762326344,9.18094107646873,1
1.0200000000000005,0.44095120126741405,0.019492066048593316,2.0012994710703063,9.159048798732586,1
1.0400000000000005,0.46344238525074444,0.021556235711408425,2.001437082381198,9.136557614749256,1
1.0600000000000005,0.4865308877205502,0.02374722544267225,2.0015831483633266,9.11346911227945,1
1.0800000000000005,0.5102148139419637,0.026066978399249204,2.0017377985604794,9.089785186058036,1
1.1000000000000005,0.5344919823963215,0.028517285499273848,2.0019011523671995,9.065508017603678,1
1.1200000000000006,0.5593599782066643,0.031099717266264162,2.0020733144850547,9.040640021793335,1
1.1400000000000006,0.5848161140084163,0.03381570139759848,2.0022543800938686,9.015183885991583,1
1.1600000000000006,0.6108574191674403,0.036666548836983434,2.002444436589889,8.98914258083256,1
1.1800000000000006,0.6374806441644242,0.03965345526163373,2.002643563684927,8.962519355835575,1
1.2000000000000006,0.6646822848800478,0.04277752674078877,2.0028518351169335,8.935317715119952,1
1.2200000000000006,0.6924586486639961,0.046039853093277634,2.0030693235404864,8.907541351336004,1
1.2400000000000007,0.720805802411105,0.04944143573087599,2.0032960957163626,8.879194197588895,1
