t,hid,x,y,r
1.680,3,4.2600,0.2174,0.276
1.680,4,5.0800,-1.1050,0.329
1.680,5,5.9000,-2.2951,0.307
1.680,6,6.7200,-0.4044,0.328
1.680,7,7.5400,-1.2090,0.305
1.680,8,8.3600,-0.4010,0.282
1.680,9,9.1800,1.1283,0.278
1.680,10,10.0000,-1.5473,0.305
1.680,11,10.8200,0.3335,0.275
1.680,12,11.6400,-1.1315,0.320
1.680,13,12.4600,0.4416,0.266
1.680,14,13.2800,-0.0054,0.318
1.680,15,14.1000,1.5044,0.295
1.720,0,1.8000,-1.4138,0.299
1.720,1,2.6200,-0.2321,0.289
1.720,2,3.4400,-0.2268,0.267
1.720,3,4.2600,0.2262,0.276
1.720,4,5.0800,-1.1159,0.329
1.720,5,5.9000,-2.3068,0.307
1.720,6,6.7200,-0.4047,0.328
1.720,7,7.5400,-1.2151,0.305
1.720,8,8.3600,-0.3895,0.282
1.720,9,9.1800,1.1372,0.278
1.720,10,10.0000,-1.5606,0.305
1.720,11,10.8200,0.3349,0.275
1.720,12,11.6400,-1.1307,0.320
1.720,13,12.4600,0.4343,0.266
1.720,14,13.2800,-0.0167,0.318
1.720,15,14.1000,1.5230,0.295
1.760,0,1.8000,-1.4240,0.299
1.760,1,2.6200,-0.2402,0.289
1.760,2,3.4400,-0.2275,0.267
1.760,3,4.2600,0.2348,0.276
1.760,4,5.0800,-1.1265,0.329
1.760,5,5.9000,-2.3181,0.307
1.760,6,6.7200,-0.4048,0.328
1.760,7,7.5400,-1.2209,0.305
1.760,8,8.3600,-0.3777,0.282
1.760,9,9.1800,1.1457,0.278
1.760,10,10.0000,-1.5743,0.305
1.760,11,10.8200,0.3360,0.275
1.760,12,11.6400,-1.1302,0.320
1.760,13,12.4600,0.4272,0.266
1.760,14,13.2800,-0.0276,0.318
1.760,15,14.1000,1.5413,0.295
1.800,0,1.8000,-1.4340,0.299
1.800,1,2.6200,-0.2486,0.289
1.800,2,3.4400,-0.2286,0.267
1.800,3,4.2600,0.2430,0.276
1.800,4,5.0800,-1.1368,0.329
1.800,5,5.9000,-2.3291,0.307
1.800,6,6.7200,-0.4048,0.328
1.800,7,7.5400,-1.2264,0.305
1.800,8,8.3600,-0.3656,0.282
1.800,9,9.1800,1.1539,0.278
1.800,10,10.0000,-1.5882,0.305
1.800,11,10.8200,0.3369,0.275
1.800,12,11.6400,-1.1301,0.320
1.800,13,12.4600,0.4203,0.266
1.800,14,13.2800,-0.0383,0.318
1.800,15,14.1000,1.5594,0.295
1.840,0,1.8000,-1.4437,0.299
1.840,1,2.6200,-0.2572,0.289
1.840,2,3.4400,-0.2300,0.267
1.840,3,4.2600,0.2510,0.276
1.840,4,5.0800,-1.1468,0.329
1.840,5,5.9000,-2.3398,0.307
1.840,6,6.7200,-0.4045,0.328
1.840,7,7.5400,-1.2317,0.305
1.840,8,8.3600,-0.3533,0.282
1.840,9,9.1800,1.1618,0.278
1.840,10,10.0000,-1.6025,0.305
1.840,11,10.8200,0.3374,0.275
1.840,12,11.6400,-1.1303,0.320
1.840,13,12.4600,0.4137,0.266
1.840,14,13.2800,-0.0486,0.318
1.840,15,14.1000,1.5774,0.295
1.880,0,1.8000,-1.4532,0.299
1.880,1,2.6200,-0.2662,0.289
1.880,2,3.4400,-0.2316,0.267
1.880,3,4.2600,0.2586,0.276
1.880,4,5.0800,-1.1564,0.329
1.880,5,5.9000,-2.3502,0.307
1.880,6,6.7200,-0.4040,0.328
1.880,7,7.5400,-1.2367,0.305
1.880,8,8.3600,-0.3407,0.282
1.880,9,9.1800,1.1694,0.278
1.880,10,10.0000,-1.6172,0.305
1.880,11,10.8200,0.3377,0.275
1.880,12,11.6400,-1.1308,0.320
1.880,13,12.4600,0.4072,0.266
1.880,14,13.2800,-0.0587,0.318
1.880,15,14.1000,1.5952,0.295
1.920,0,1.8000,-1.4625,0.299
1.920,1,2.6200,-0.2754,0.289
1.920,2,3.4400,-0.2337,0.267
1.920,3,4.2600,0.2659,0.276
1.920,4,5.0800,-1.1658,0.329
1.920,5,5.9000,-2.3602,0.307
1.920,6,6.7200,-0.4034,0.328
1.920,7,7.5400,-1.2414,0.305
1.920,8,8.3600,-0.3277,0.282
1.920,9,9.1800,1.1766,0.278
1.920,10,10.0000,-1.6322,0.305
1.920,11,10.8200,0.3377,0.275
1.920,12,11.6400,-1.1317,0.320
1.920,13,12.4600,0.4010,0.266
1.920,14,13.2800,-0.0684,0.318
1.920,15,14.1000,1.6128,0.295
1.960,0,1.8000,-1.4716,0.299
1.960,1,2.6200,-0.2849,0.289
1.960,2,3.4400,-0.2360,0.267
1.960,3,4.2600,0.2730,0.276
1.960,4,5.0800,-1.1748,0.329
1.960,5,5.9000,-2.3700,0.307
1.960,6,6.7200,-0.4025,0.328
1.960,7,7.5400,-1.2458,0.305
1.960,8,8.3600,-0.3146,0.282
1.960,9,9.1800,1.1835,0.278
1.960,10,10.0000,-1.6475,0.305
1.960,11,10.8200,0.3375,0.275
1.960,12,11.6400,-1.1329,0.320
1.960,13,12.4600,0.3950,0.266
1.960,14,13.2800,-0.0779,0.318
1.960,15,14.1000,1.6302,0.295
2.000,0,1.8000,-1.4805,0.299
2.000,1,2.6200,-0.2947,0.289
2.000,2,3.4400,-0.2386,0.267
2.000,3,4.2600,0.2797,0.276
2.000,4,5.0800,-1.1835,0.329
2.000,5,5.9000,-2.3795,0.307
2.000,6,6.7200,-0.4015,0.328
2.000,7,7.5400,-1.2500,0.305
2.000,8,8.3600,-0.3011,0.282
2.000,9,9.1800,1.1901,0.278
2.000,10,10.0000,-1.6632,0.305
2.000,11,10.8200,0.3369,0.275
2.000,12,11.6400,-1.1345,0.320
2.000,13,12.4600,0.3892,0.266
2.000,14,13.2800,-0.0871,0.318
2.000,15,14.1000,1.6475,0.295
2.040,0,1.8000,-1.4892,0.299
2.040,1,2.6200,-0.3048,0.289
2.040,2,3.4400,-0.2416,0.267
2.040,3,4.2600,0.2861,0.276
2.040,4,5.0800,-1.1919,0.329
2.040,5,5.9000,-2.3886,0.307
2.040,6,6.7200,-0.4002,0.328
2.040,7,7.5400,-1.2538,0.305
2.040,8,8.3600,-0.2873,0.282
2.040,9,9.1800,1.1964,0.278
2.040,10,10.0000,-1.6792,0.305
2.040,11,10.8200,0.3361,0.275
2.040,12,11.6400,-1.1365,0.320
2.040,13,12.4600,0.3836,0.266
2.040,14,13.2800,-0.0959,0.318
2.040,15,14.1000,1.6645,0.295
2.080,0,1.8000,-1.4976,0.299
2.080,1,2.6200,-0.3151,0.289
2.080,2,3.4400,-0.2449,0.267
2.080,3,4.2600,0.2922,0.276
2.080,4,5.0800,-1.2000,0.329
2.080,5,5.9000,-2.3974,0.307
2.080,6,6.7200,-0.3988,0.328
2.080,7,7.5400,-1.2574,0.305
2.080,8,8.3600,-0.2733,0.282
2.080,9,9.1800,1.2023,0.278
2.080,10,10.0000,-1.6956,0.305
2.080,11,10.8200,0.3350,0.275
2.080,12,11.6400,-1.1387,0.320
2.080,13,12.4600,0.3782,0.266
2.080,14,13.2800,-0.1045,0.318
2.080,15,14.1000,1.6814,0.295
2.120,0,1.8000,-1.5059,0.299
2.120,1,2.6200,-0.3258,0.289
2.120,2,3.4400,-0.2485,0.267
2.120,3,4.2600,0.2980,0.276
2.120,4,5.0800,-1.2078,0.329
2.120,5,5.9000,-2.4060,0.307
2.120,6,6.7200,-0.3972,0.328
2.120,7,7.5400,-1.2608,0.305
2.120,8,8.3600,-0.2590,0.282
2.120,9,9.1800,1.2079,0.278
2.120,10,10.0000,-1.7123,0.305
2.120,11,10.8200,0.3336,0.275
2.120,12,11.6400,-1.1414,0.320
2.120,13,12.4600,0.3731,0.266
2.120,14,13.2800,-0.1128,0.318
2.120,15,14.1000,1.6981,0.295
2.160,0,1.8000,-1.5139,0.299
2.160,1,2.6200,-0.3367,0.289
2.160,2,3.4400,-0.2524,0.267
2.160,3,4.2600,0.3035,0.276
2.160,4,5.0800,-1.2152,0.329
2.160,5,5.9000,-2.4142,0.307
2.160,6,6.7200,-0.3953,0.328
2.160,7,7.5400,-1.2638,0.305
2.160,8,8.3600,-0.2444,0.282
2.160,9,9.1800,1.2132,0.278
2.160,10,10.0000,-1.7293,0.305
2.160,11,10.8200,0.3320,0.275
2.160,12,11.6400,-1.1443,0.320
2.160,13,12.4600,0.3681,0.266
2.160,14,13.2800,-0.1208,0.318
2.160,15,14.1000,1.7146,0.295
2.200,0,1.8000,-1.5217,0.299
2.200,1,2.6200,-0.3479,0.289
2.200,2,3.4400,-0.2566,0.267
2.200,3,4.2600,0.3087,0.276
2.200,4,5.0800,-1.2224,0.329
2.200,5,5.9000,-2.4221,0.307
2.200,6,6.7200,-0.3933,0.328
2.200,7,7.5400,-1.2666,0.305
2.200,8,8.3600,-0.2296,0.282
2.200,9,9.1800,1.2181,0.278
2.200,10,10.0000,-1.7467,0.305
2.200,11,10.8200,0.3301,0.275
2.200,12,11.6400,-1.1477,0.320
2.200,13,12.4600,0.3634,0.266
2.200,14,13.2800,-0.1285,0.318
2.200,15,14.1000,1.7309,0.295
2.240,0,1.8000,-1.5293,0.299
2.240,1,2.6200,-0.3594,0.289
2.240,2,3.4400,-0.2612,0.267
2.240,3,4.2600,0.3136,0.276
2.240,4,5.0800,-1.2292,0.329
2.240,5,5.9000,-2.4297,0.307
2.240,6,6.7200,-0.3911,0.328
2.240,7,7.5400,-1.2691,0.305
2.240,8,8.3600,-0.2144,0.282
2.240,9,9.1800,1.2228,0.278
2.240,10,10.0000,-1.7644,0.305
2.240,11,10.8200,0.3279,0.275
2.240,12,11.6400,-1.1513,0.320
2.240,13,12.4600,0.3588,0.266
2.240,14,13.2800,-0.1359,0.318
2.240,15,14.1000,1.7471,0.295
2.280,0,1.8000,-1.5366,0.299
2.280,1,2.6200,-0.3712,0.289
2.280,2,3.4400,-0.2660,0.267
2.280,3,4.2600,0.3182,0.276
2.280,4,5.0800,-1.2357,0.329
2.280,5,5.9000,-2.4370,0.307
2.280,6,6.7200,-0.3887,0.328
2.280,7,7.5400,-1.2713,0.305
2.280,8,8.3600,-0.1990,0.282
2.280,9,9.1800,1.2271,0.278
2.280,10,10.0000,-1.7825,0.305
2.280,11,10.8200,0.3254,0.275
2.280,12,11.6400,-1.1553,0.320
2.280,13,12.4600,0.3545,0.266
2.280,14,13.2800,-0.1430,0.318
2.280,15,14.1000,1.7631,0.295
2.320,0,1.8000,-1.5438,0.299
2.320,1,2.6200,-0.3833,0.289
2.320,2,3.4400,-0.2712,0.267
2.320,3,4.2600,0.3225,0.276
2.320,4,5.0800,-1.2419,0.329
2.320,5,5.9000,-2.4440,0.307
2.320,6,6.7200,-0.3861,0.328
2.320,7,7.5400,-1.2733,0.305
2.320,8,8.3600,-0.1833,0.282
2.320,9,9.1800,1.2310,0.278
2.320,10,10.0000,-1.8009,0.305
2.320,11,10.8200,0.3226,0.275
2.320,12,11.6400,-1.1597,0.320
2.320,13,12.4600,0.3504,0.266
2.320,14,13.2800,-0.1498,0.318
2.320,15,14.1000,1.7788,0.295
2.360,0,1.8000,-1.5507,0.299
2.360,1,2.6200,-0.3956,0.289
2.360,2,3.4400,-0.2767,0.267
2.360,3,4.2600,0.3265,0.276
2.360,4,5.0800,-1.2478,0.329
2.360,5,5.9000,-2.4506,0.307
2.360,6,6.7200,-0.3833,0.328
2.360,7,7.5400,-1.2749,0.305
2.360,8,8.3600,-0.1674,0.282
2.360,9,9.1800,1.2347,0.278
2.360,10,10.0000,-1.8197,0.305
2.360,11,10.8200,0.3196,0.275
2.360,12,11.6400,-1.1644,0.320
2.360,13,12.4600,0.3465,0.266
2.360,14,13.2800,-0.1563,0.318
2.360,15,14.1000,1.7945,0.295
2.400,0,1.8000,-1.5575,0.299
2.400,1,2.6200,-0.4083,0.289
2.400,2,3.4400,-0.2826,0.267
2.400,3,4.2600,0.3302,0.276
2.400,4,5.0800,-1.2534,0.329
2.400,5,5.9000,-2.4570,0.307
2.400,6,6.7200,-0.3803,0.328
2.400,7,7.5400,-1.2763,0.305
2.400,8,8.3600,-0.1511,0.282
2.400,9,9.1800,1.2380,0.278
2.400,10,10.0000,-1.8387,0.305
2.400,11,10.8200,0.3163,0.275
2.400,12,11.6400,-1.1695,0.320
2.400,13,12.4600,0.3428,0.266
2.400,14,13.2800,-0.1625,0.318
2.400,15,14.1000,1.8099,0.295
2.440,0,1.8000,-1.5640,0.299
2.440,1,2.6200,-0.4212,0.289
2.440,2,3.4400,-0.2887,0.267
2.440,3,4.2600,0.3336,0.276
2.440,4,5.0800,-1.2586,0.329
2.440,5,5.9000,-2.4630,0.307
2.440,6,6.7200,-0.3771,0.328
2.440,7,7.5400,-1.2774,0.305
2.440,8,8.3600,-0.1346,0.282
2.440,9,9.1800,1.2410,0.278
2.440,10,10.0000,-1.8582,0.305
2.440,11,10.8200,0.3127,0.275
2.440,12,11.6400,-1.1749,0.320
2.440,13,12.4600,0.3393,0.266
2.440,14,13.2800,-0.1685,0.318
2.440,15,14.1000,1.8251,0.295
2.480,0,1.8000,-1.5703,0.299
2.480,1,2.6200,-0.4344,0.289
2.480,2,3.4400,-0.2952,0.267
2.480,3,4.2600,0.3367,0.276
2.480,4,5.0800,-1.2636,0.329
2.480,5,5.9000,-2.4688,0.307
2.480,6,6.7200,-0.3737,0.328
2.480,7,7.5400,-1.2783,0.305
2.480,8,8.3600,-0.1178,0.282
2.480,9,9.1800,1.2436,0.278
2.480,10,10.0000,-1.8779,0.305
2.480,11,10.8200,0.3089,0.275
2.480,12,11.6400,-1.1806,0.320
2.480,13,12.4600,0.3361,0.266
2.480,14,13.2800,-0.1741,0.318
2.480,15,14.1000,1.8402,0.295
2.520,0,1.8000,-1.5764,0.299
2.520,1,2.6200,-0.4479,0.289
2.520,2,3.4400,-0.3020,0.267
2.520,3,4.2600,0.3394,0.276
2.520,4,5.0800,-1.2682,0.329
2.520,5,5.9000,-2.4742,0.307
2.520,6,6.7200,-0.3702,0.328
2.520,7,7.5400,-1.2788,0.305
2.520,8,8.3600,-0.1007,0.282
2.520,9,9.1800,1.2460,0.278
2.520,10,10.0000,-1.8980,0.305
2.520,11,10.8200,0.3047,0.275
2.520,12,11.6400,-1.1867,0.320
2.520,13,12.4600,0.3330,0.266
2.520,14,13.2800,-0.1794,0.318
2.520,15,14.1000,1.8551,0.295
2.560,0,1.8000,-1.5822,0.299
2.560,1,2.6200,-0.4617,0.289
2.560,2,3.4400,-0.3091,0.267
2.560,3,4.2600,0.3419,0.276
2.560,4,5.0800,-1.2725,0.329
2.560,5,5.9000,-2.4793,0.307
2.560,6,6.7200,-0.3664,0.328
2.560,7,7.5400,-1.2791,0.305
2.560,8,8.3600,-0.0833,0.282
2.560,9,9.1800,1.2480,0.278
2.560,10,10.0000,-1.9185,0.305
2.560,11,10.8200,0.3003,0.275
2.560,12,11.6400,-1.1931,0.320
2.560,13,12.4600,0.3302,0.266
2.560,14,13.2800,-0.1845,0.318
2.560,15,14.1000,1.8698,0.295
2.600,0,1.8000,-1.5879,0.299
2.600,1,2.6200,-0.4758,0.289
2.600,2,3.4400,-0.3165,0.267
2.600,3,4.2600,0.3441,0.276
2.600,4,5.0800,-1.2765,0.329
2.600,5,5.9000,-2.4841,0.307
2.600,6,6.7200,-0.3624,0.328
2.600,7,7.5400,-1.2791,0.305
2.600,8,8.3600,-0.0657,0.282
2.600,9,9.1800,1.2497,0.278
2.600,10,10.0000,-1.9393,0.305
2.600,11,10.8200,0.2956,0.275
2.600,12,11.6400,-1.1999,0.320
2.600,13,12.4600,0.3276,0.266
2.600,14,13.2800,-0.1892,0.318
2.600,15,14.1000,1.8843,0.295
2.640,0,1.8000,-1.5933,0.299
2.640,1,2.6200,-0.4901,0.289
2.640,2,3.4400,-0.3242,0.267
2.640,3,4.2600,0.3459,0.276
2.640,4,5.0800,-1.2802,0.329
2.640,5,5.9000,-2.4886,0.307
2.640,6,6.7200,-0.3583,0.328
2.640,7,7.5400,-1.2788,0.305
2.640,8,8.3600,-0.0478,0.282
2.640,9,9.1800,1.2510,0.278
2.640,10,10.0000,-1.9604,0.305
2.640,11,10.8200,0.2906,0.275
2.640,12,11.6400,-1.2071,0.320
2.640,13,12.4600,0.3252,0.266
2.640,14,13.2800,-0.1937,0.318
2.640,15,14.1000,1.8986,0.295
2.680,0,1.8000,-1.5986,0.299
2.680,1,2.6200,-0.5048,0.289
2.680,2,3.4400,-0.3323,0.267
2.680,3,4.2600,0.3475,0.276
2.680,4,5.0800,-1.2836,0.329
2.680,5,5.9000,-2.4928,0.307
2.680,6,6.7200,-0.3539,0.328
2.680,7,7.5400,-1.2783,0.305
2.680,8,8.3600,-0.0296,0.282
2.680,9,9.1800,1.2520,0.278
2.680,10,10.0000,-1.9819,0.305
2.680,11,10.8200,0.2854,0.275
2.680,12,11.6400,-1.2145,0.320
2.680,13,12.4600,0.3230,0.266
2.680,14,13.2800,-0.1978,0.318
2.680,15,14.1000,1.9128,0.295
2.720,0,1.8000,-1.6036,0.299
2.720,1,2.6200,-0.5197,0.289
2.720,2,3.4400,-0.3406,0.267
2.720,3,4.2600,0.3487,0.276
2.720,4,5.0800,-1.2866,0.329
2.720,5,5.9000,-2.4967,0.307
2.720,6,6.7200,-0.3494,0.328
2.720,7,7.5400,-1.2775,0.305
2.720,8,8.3600,-0.0111,0.282
2.720,9,9.1800,1.2527,0.278
2.720,10,10.0000,-2.0037,0.305
2.720,11,10.8200,0.2799,0.275
2.720,12,11.6400,-1.2224,0.320
2.720,13,12.4600,0.3210,0.266
2.720,14,13.2800,-0.2017,0.318
2.720,15,14.1000,1.9267,0.295
2.760,0,1.8000,-1.6084,0.299
2.760,1,2.6200,-0.5349,0.289
2.760,2,3.4400,-0.3493,0.267
2.760,3,4.2600,0.3497,0.276
2.760,4,5.0800,-1.2894,0.329
2.760,5,5.9000,-2.5003,0.307
2.760,6,6.7200,-0.3446,0.328
2.760,7,7.5400,-1.2764,0.305
2.760,8,8.3600,0.0076,0.282
2.760,9,9.1800,1.2531,0.278
2.760,10,10.0000,-2.0259,0.305
2.760,11,10.8200,0.2741,0.275
2.760,12,11.6400,-1.2306,0.320
2.760,13,12.4600,0.3192,0.266
2.760,14,13.2800,-0.2052,0.318
2.760,15,14.1000,1.9405,0.295
2.800,0,1.8000,-1.6130,0.299
2.800,1,2.6200,-0.5504,0.289
2.800,2,3.4400,-0.3583,0.267
2.800,3,4.2600,0.3503,0.276
2.800,4,5.0800,-1.2918,0.329
2.800,5,5.9000,-2.5036,0.307
2.800,6,6.7200,-0.3397,0.328
2.800,7,7.5400,-1.2750,0.305
2.800,8,8.3600,0.0267,0.282
2.800,9,9.1800,1.2532,0.278
2.800,10,10.0000,-2.0484,0.305
2.800,11,10.8200,0.2680,0.275
2.800,12,11.6400,-1.2391,0.320
2.800,13,12.4600,0.3177,0.266
2.800,14,13.2800,-0.2085,0.318
2.800,15,14.1000,1.9541,0.295
2.840,0,1.8000,-1.6173,0.299
2.840,1,2.6200,-0.5662,0.289
2.840,2,3.4400,-0.3677,0.267
2.840,3,4.2600,0.3506,0.276
2.840,4,5.0800,-1.2939,0.329
2.840,5,5.9000,-2.5065,0.307
2.840,6,6.7200,-0.3346,0.328
2.840,7,7.5400,-1.2734,0.305
2.840,8,8.3600,0.0460,0.282
2.840,9,9.1800,1.2529,0.278
2.840,10,10.0000,-2.0712,0.305
2.840,11,10.8200,0.2616,0.275
2.840,12,11.6400,-1.2479,0.320
2.840,13,12.4600,0.3163,0.266
2.840,14,13.2800,-0.2115,0.318
2.840,15,14.1000,1.9675,0.295
2.880,0,1.8000,-1.6215,0.299
2.880,1,2.6200,-0.5823,0.289
2.880,2,3.4400,-0.3773,0.267
2.880,3,4.2600,0.3507,0.276
2.880,4,5.0800,-1.2957,0.329
2.880,5,5.9000,-2.5092,0.307
2.880,6,6.7200,-0.3293,0.328
2.880,7,7.5400,-1.2714,0.305
2.880,8,8.3600,0.0656,0.282
2.880,9,9.1800,1.2523,0.278
2.880,10,10.0000,-2.0944,0.305
2.880,11,10.8200,0.2550,0.275
2.880,12,11.6400,-1.2572,0.320
2.880,13,12.4600,0.3152,0.266
2.880,14,13.2800,-0.2141,0.318
2.880,15,14.1000,1.9808,0.295
2.920,0,1.8000,-1.6254,0.299
2.920,1,2.6200,-0.5986,0.289
2.920,2,3.4400,-0.3873,0.267
2.920,3,4.2600,0.3504,0.276
2.920,4,5.0800,-1.2972,0.329
2.920,5,5.9000,-2.5115,0.307
2.920,6,6.7200,-0.3237,0.328
2.920,7,7.5400,-1.2692,0.305
2.920,8,8.3600,0.0854,0.282
2.920,9,9.1800,1.2513,0.278
2.920,10,10.0000,-2.1179,0.305
2.920,11,10.8200,0.2481,0.275
2.920,12,11.6400,-1.2667,0.320
2.920,13,12.4600,0.3142,0.266
2.920,14,13.2800,-0.2165,0.318
2.920,15,14.1000,1.9939,0.295
2.960,0,1.8000,-1.6291,0.299
2.960,1,2.6200,-0.6153,0.289
2.960,2,3.4400,-0.3976,0.267
2.960,3,4.2600,0.3498,0.276
2.960,4,5.0800,-1.2984,0.329
2.960,5,5.9000,-2.5135,0.307
2.960,6,6.7200,-0.3180,0.328
2.960,7,7.5400,-1.2668,0.305
2.960,8,8.3600,0.1056,0.282
2.960,9,9.1800,1.2501,0.278
2.960,10,10.0000,-2.1418,0.305
2.960,11,10.8200,0.2409,0.275
2.960,12,11.6400,-1.2766,0.320
2.960,13,12.4600,0.3135,0.266
2.960,14,13.2800,-0.2186,0.318
2.960,15,14.1000,2.0067,0.295
3.000,0,1.8000,-1.6326,0.299
3.000,1,2.6200,-0.6322,0.289
3.000,2,3.4400,-0.4082,0.267
3.000,3,4.2600,0.3489,0.276
3.000,4,5.0800,-1.2992,0.329
3.000,5,5.9000,-2.5153,0.307
3.000,6,6.7200,-0.3121,0.328
3.000,7,7.5400,-1.2640,0.305
3.000,8,8.3600,0.1260,0.282
3.000,9,9.1800,1.2485,0.278
3.000,10,10.0000,-2.1660,0.305
3.000,11,10.8200,0.2335,0.275
3.000,12,11.6400,-1.2869,0.320
3.000,13,12.4600,0.3130,0.266
3.000,14,13.2800,-0.2204,0.318
3.000,15,14.1000,2.0194,0.295
3.040,0,1.8000,-1.6359,0.299
3.040,1,2.6200,-0.6494,0.289
3.040,2,3.4400,-0.4191,0.267
3.040,3,4.2600,0.3478,0.276
3.040,4,5.0800,-1.2998,0.329
3.040,5,5.9000,-2.5167,0.307
3.040,6,6.7200,-0.3060,0.328
3.040,7,7.5400,-1.2610,0.305
3.040,8,8.3600,0.1467,0.282
3.040,9,9.1800,1.2466,0.278
3.040,10,10.0000,-2.1905,0.305
3.040,11,10.8200,0.2257,0.275
3.040,12,11.6400,-1.2975,0.320
3.040,13,12.4600,0.3127,0.266
3.040,14,13.2800,-0.2219,0.318
3.040,15,14.1000,2.0319,0.295
3.080,0,1.8000,-1.6390,0.299
3.080,1,2.6200,-0.6669,0.289
3.080,2,3.4400,-0.4303,0.267
3.080,3,4.2600,0.3463,0.276
3.080,4,5.0800,-1.3000,0.329
3.080,5,5.9000,-2.5178,0.307
3.080,6,6.7200,-0.2997,0.328
3.080,7,7.5400,-1.2577,0.305
3.080,8,8.3600,0.1677,0.282
3.080,9,9.1800,1.2443,0.278
3.080,10,10.0000,-2.2154,0.305
3.080,11,10.8200,0.2177,0.275
3.080,12,11.6400,-1.3084,0.320
3.080,13,12.4600,0.3127,0.266
3.080,14,13.2800,-0.2231,0.318
3.080,15,14.1000,2.0443,0.295
3.120,0,1.8000,-1.6419,0.299
3.120,1,2.6200,-0.6847,0.289
3.120,2,3.4400,-0.4419,0.267
3.120,3,4.2600,0.3445,0.276
3.120,4,5.0800,-1.2999,0.329
3.120,5,5.9000,-2.5186,0.307
3.120,6,6.7200,-0.2932,0.328
3.120,7,7.5400,-1.2541,0.305
3.120,8,8.3600,0.1889,0.282
3.120,9,9.1800,1.2417,0.278
3.120,10,10.0000,-2.2406,0.305
3.120,11,10.8200,0.2094,0.275
3.120,12,11.6400,-1.3197,0.320
3.120,13,12.4600,0.3128,0.266
3.120,14,13.2800,-0.2240,0.318
3.120,15,14.1000,2.0564,0.295
3.160,0,1.8000,-1.6445,0.299
3.160,1,2.6200,-0.7027,0.289
3.160,2,3.4400,-0.4537,0.267
3.160,3,4.2600,0.3424,0.276
3.160,4,5.0800,-1.2995,0.329
3.160,5,5.9000,-2.5190,0.307
3.160,6,6.7200,-0.2866,0.328
3.160,7,7.5400,-1.2502,0.305
3.160,8,8.3600,0.2104,0.282
3.160,9,9.1800,1.2388,0.278
3.160,10,10.0000,-2.2662,0.305
3.160,11,10.8200,0.2009,0.275
3.160,12,11.6400,-1.3314,0.320
3.160,13,12.4600,0.3132,0.266
3.160,14,13.2800,-0.2246,0.318
3.160,15,14.1000,2.0684,0.295
3.200,0,1.8000,-1.6469,0.299
3.200,1,2.6200,-0.7211,0.289
3.200,2,3.4400,-0.4659,0.267
3.200,3,4.2600,0.3400,0.276
3.200,4,5.0800,-1.2988,0.329
3.200,5,5.9000,-2.5192,0.307
3.200,6,6.7200,-0.2797,0.328
3.200,7,7.5400,-1.2461,0.305
3.200,8,8.3600,0.2323,0.282
3.200,9,9.1800,1.2356,0.278
3.200,10,10.0000,-2.2921,0.305
3.200,11,10.8200,0.1920,0.275
3.200,12,11.6400,-1.3433,0.320
3.200,13,12.4600,0.3137,0.266
3.200,14,13.2800,-0.2249,0.318
3.200,15,14.1000,2.0802,0.295
3.240,0,1.8000,-1.6491,0.299
3.240,1,2.6200,-0.7397,0.289
3.240,2,3.4400,-0.4784,0.267
3.240,3,4.2600,0.3373,0.276
3.240,4,5.0800,-1.2978,0.329
3.240,5,5.9000,-2.5191,0.307
3.240,6,6.7200,-0.2726,0.328
3.240,7,7.5400,-1.2417,0.305
3.240,8,8.3600,0.2543,0.282
3.240,9,9.1800,1.2321,0.278
3.240,10,10.0000,-2.3183,0.305
3.240,11,10.8200,0.1829,0.275
3.240,12,11.6400,-1.3557,0.320
3.240,13,12.4600,0.3145,0.266
3.240,14,13.2800,-0.2250,0.318
3.240,15,14.1000,2.0918,0.295
3.280,0,1.8000,-1.6511,0.299
3.280,1,2.6200,-0.7586,0.289
3.280,2,3.4400,-0.4913,0.267
3.280,3,4.2600,0.3343,0.276
3.280,4,5.0800,-1.2964,0.329
3.280,5,5.9000,-2.5186,0.307
3.280,6,6.7200,-0.2653,0.328
3.280,7,7.5400,-1.2370,0.305
3.280,8,8.3600,0.2767,0.282
3.280,9,9.1800,1.2282,0.278
3.280,10,10.0000,-2.3449,0.305
3.280,11,10.8200,0.1735,0.275
3.280,12,11.6400,-1.3684,0.320
3.280,13,12.4600,0.3155,0.266
3.280,14,13.2800,-0.2247,0.318
3.280,15,14.1000,2.1032,0.295
3.320,0,1.8000,-1.6529,0.299
3.320,1,2.6200,-0.7778,0.289
3.320,2,3.4400,-0.5044,0.267
3.320,3,4.2600,0.3310,0.276
3.320,4,5.0800,-1.2948,0.329
3.320,5,5.9000,-2.5179,0.307
3.320,6,6.7200,-0.2579,0.328
3.320,7,7.5400,-1.2320,0.305
3.320,8,8.3600,0.2994,0.282
3.320,9,9.1800,1.2240,0.278
3.320,10,10.0000,-2.3718,0.305
3.320,11,10.8200,0.1638,0.275
3.320,12,11.6400,-1.3814,0.320
3.320,13,12.4600,0.3167,0.266
3.320,14,13.2800,-0.2241,0.318
3.320,15,14.1000,2.1145,0.295
3.360,0,1.8000,-1.6545,0.299
3.360,1,2.6200,-0.7973,0.289
3.360,2,3.4400,-0.5179,0.267
3.360,3,4.2600,0.3273,0.276
3.360,4,5.0800,-1.2928,0.329
3.360,5,5.9000,-2.5168,0.307
3.360,6,6.7200,-0.2502,0.328
