t,hid,x,y,r
0.320,6,6.7200,-0.2782,0.328
0.320,7,7.5400,-0.8376,0.305
0.320,8,8.3600,-0.6272,0.282
0.320,9,9.1800,0.6320,0.278
0.320,10,10.0000,-1.2982,0.305
0.320,11,10.8200,0.1213,0.275
0.320,12,11.6400,-1.3663,0.320
0.320,13,12.4600,0.8157,0.266
0.320,14,13.2800,0.5522,0.318
0.320,15,14.1000,0.7669,0.295
0.360,0,1.8000,-0.9402,0.299
0.360,1,2.6200,-0.1272,0.289
0.360,2,3.4400,-0.3911,0.267
0.360,3,4.2600,-0.2454,0.276
0.360,4,5.0800,-0.5685,0.329
0.360,5,5.9000,-1.7381,0.307
0.360,6,6.7200,-0.2852,0.328
0.360,7,7.5400,-0.8531,0.305
0.360,8,8.3600,-0.6251,0.282
0.360,9,9.1800,0.6520,0.278
0.360,10,10.0000,-1.2999,0.305
0.360,11,10.8200,0.1321,0.275
0.360,12,11.6400,-1.3537,0.320
0.360,13,12.4600,0.8012,0.266
0.360,14,13.2800,0.5309,0.318
0.360,15,14.1000,0.7916,0.295
0.400,0,1.8000,-0.9577,0.299
0.400,1,2.6200,-0.1256,0.289
0.400,2,3.4400,-0.3810,0.267
0.400,3,4.2600,-0.2265,0.276
0.400,4,5.0800,-0.5898,0.329
0.400,5,5.9000,-1.7599,0.307
0.400,6,6.7200,-0.2919,0.328
0.400,7,7.5400,-0.8683,0.305
0.400,8,8.3600,-0.6228,0.282
0.400,9,9.1800,0.6717,0.278
0.400,10,10.0000,-1.3020,0.305
0.400,11,10.8200,0.1427,0.275
0.400,12,11.6400,-1.3414,0.320
0.400,13,12.4600,0.7869,0.266
0.400,14,13.2800,0.5099,0.318
0.400,15,14.1000,0.8161,0.295
0.440,0,1.8000,-0.9749,0.299
0.440,1,2.6200,-0.1242,0.289
0.440,2,3.4400,-0.3713,0.267
0.440,3,4.2600,-0.2080,0.276
0.440,4,5.0800,-0.6108,0.329
0.440,5,5.9000,-1.7814,0.307
0.440,6,6.7200,-0.2984,0.328
0.440,7,7.5400,-0.8832,0.305
0.440,8,8.3600,-0.6202,0.282
0.440,9,9.1800,0.6910,0.278
0.440,10,10.0000,-1.3044,0.305
0.440,11,10.8200,0.1529,0.275
0.440,12,11.6400,-1.3295,0.320
0.440,13,12.4600,0.7729,0.266
0.440,14,13.2800,0.4892,0.318
0.440,15,14.1000,0.8404,0.295
0.480,0,1.8000,-0.9920,0.299
0.480,1,2.6200,-0.1232,0.289
0.480,2,3.4400,-0.3618,0.267
0.480,3,4.2600,-0.1897,0.276
0.480,4,5.0800,-0.6315,0.329
0.480,5,5.9000,-1.8026,0.307
0.480,6,6.7200,-0.3047,0.328
0.480,7,7.5400,-0.8979,0.305
0.480,8,8.3600,-0.6173,0.282
0.480,9,9.1800,0.7100,0.278
0.480,10,10.0000,-1.3071,0.305
0.480,11,10.8200,0.1629,0.275
0.480,12,11.6400,-1.3179,0.320
0.480,13,12.4600,0.7590,0.266
0.480,14,13.2800,0.4689,0.318
0.480,15,14.1000,0.8645,0.295
0.520,0,1.8000,-1.0088,0.299
0.520,1,2.6200,-0.1224,0.289
0.520,2,3.4400,-0.3527,0.267
0.520,3,4.2600,-0.1717,0.276
0.520,4,5.0800,-0.6518,0.329
0.520,5,5.9000,-1.8235,0.307
0.520,6,6.7200,-0.3109,0.328
0.520,7,7.5400,-0.9123,0.305
0.520,8,8.3600,-0.6141,0.282
0.520,9,9.1800,0.7287,0.278
0.520,10,10.0000,-1.3101,0.305
0.520,11,10.8200,0.1726,0.275
0.520,12,11.6400,-1.3067,0.320
0.520,13,12.4600,0.7453,0.266
0.520,14,13.2800,0.4488,0.318
0.520,15,14.1000,0.8885,0.295
0.560,0,1.8000,-1.0254,0.299
0.560,1,2.6200,-0.1219,0.289
0.560,2,3.4400,-0.3439,0.267
0.560,3,4.2600,-0.1540,0.276
0.560,4,5.0800,-0.6718,0.329
0.560,5,5.9000,-1.8441,0.307
0.560,6,6.7200,-0.3168,0.328
0.560,7,7.5400,-0.9264,0.305
0.560,8,8.3600,-0.6106,0.282
0.560,9,9.1800,0.7470,0.278
0.560,10,10.0000,-1.3136,0.305
0.560,11,10.8200,0.1820,0.275
0.560,12,11.6400,-1.2958,0.320
0.560,13,12.4600,0.7319,0.266
0.560,14,13.2800,0.4290,0.318
0.560,15,14.1000,0.9123,0.295
0.600,0,1.8000,-1.0418,0.299
0.600,1,2.6200,-0.1217,0.289
0.600,2,3.4400,-0.3354,0.267
0.600,3,4.2600,-0.1367,0.276
0.600,4,5.0800,-0.6915,0.329
0.600,5,5.9000,-1.8644,0.307
0.600,6,6.7200,-0.3226,0.328
0.600,7,7.5400,-0.9402,0.305
0.600,8,8.3600,-0.6069,0.282
0.600,9,9.1800,0.7651,0.278
0.600,10,10.0000,-1.3173,0.305
0.600,11,10.8200,0.1912,0.275
0.600,12,11.6400,-1.2852,0.320
0.600,13,12.4600,0.7187,0.266
0.600,14,13.2800,0.4095,0.318
0.600,15,14.1000,0.9359,0.295
0.640,0,1.8000,-1.0580,0.299
0.640,1,2.6200,-0.1218,0.289
0.640,2,3.4400,-0.3272,0.267
0.640,3,4.2600,-0.1196,0.276
0.640,4,5.0800,-0.7109,0.329
0.640,5,5.9000,-1.8844,0.307
0.640,6,6.7200,-0.3281,0.328
0.640,7,7.5400,-0.9537,0.305
0.640,8,8.3600,-0.6029,0.282
0.640,9,9.1800,0.7828,0.278
0.640,10,10.0000,-1.3214,0.305
0.640,11,10.8200,0.2000,0.275
0.640,12,11.6400,-1.2750,0.320
0.640,13,12.4600,0.7056,0.266
0.640,14,13.2800,0.3903,0.318
0.640,15,14.1000,0.9593,0.295
0.680,0,1.8000,-1.0740,0.299
0.680,1,2.6200,-0.1222,0.289
0.680,2,3.4400,-0.3194,0.267
0.680,3,4.2600,-0.1028,0.276
0.680,4,5.0800,-0.7300,0.329
0.680,5,5.9000,-1.9041,0.307
0.680,6,6.7200,-0.3335,0.328
0.680,7,7.5400,-0.9670,0.305
0.680,8,8.3600,-0.5986,0.282
0.680,9,9.1800,0.8002,0.278
0.680,10,10.0000,-1.3258,0.305
0.680,11,10.8200,0.2086,0.275
0.680,12,11.6400,-1.2652,0.320
0.680,13,12.4600,0.6928,0.266
0.680,14,13.2800,0.3714,0.318
0.680,15,14.1000,0.9826,0.295
0.720,0,1.8000,-1.0898,0.299
0.720,1,2.6200,-0.1229,0.289
0.720,2,3.4400,-0.3118,0.267
0.720,3,4.2600,-0.0864,0.276
0.720,4,5.0800,-0.7488,0.329
0.720,5,5.9000,-1.9234,0.307
0.720,6,6.7200,-0.3387,0.328
0.720,7,7.5400,-0.9800,0.305
0.720,8,8.3600,-0.5940,0.282
0.720,9,9.1800,0.8172,0.278
0.720,10,10.0000,-1.3306,0.305
0.720,11,10.8200,0.2169,0.275
0.720,12,11.6400,-1.2557,0.320
0.720,13,12.4600,0.6802,0.266
0.720,14,13.2800,0.3528,0.318
0.720,15,14.1000,1.0056,0.295
0.760,0,1.8000,-1.1053,0.299
0.760,1,2.6200,-0.1238,0.289
0.760,2,3.4400,-0.3046,0.267
0.760,3,4.2600,-0.0702,0.276
0.760,4,5.0800,-0.7672,0.329
0.760,5,5.9000,-1.9425,0.307
0.760,6,6.7200,-0.3436,0.328
0.760,7,7.5400,-0.9927,0.305
0.760,8,8.3600,-0.5892,0.282
0.760,9,9.1800,0.8339,0.278
0.760,10,10.0000,-1.3357,0.305
0.760,11,10.8200,0.2250,0.275
0.760,12,11.6400,-1.2465,0.320
0.760,13,12.4600,0.6678,0.266
0.760,14,13.2800,0.3344,0.318
0.760,15,14.1000,1.0285,0.295
0.800,0,1.8000,-1.1206,0.299
0.800,1,2.6200,-0.1250,0.289
0.800,2,3.4400,-0.2977,0.267
0.800,3,4.2600,-0.0544,0.276
0.800,4,5.0800,-0.7854,0.329
0.800,5,5.9000,-1.9612,0.307
0.800,6,6.7200,-0.3484,0.328
0.800,7,7.5400,-1.0052,0.305
0.800,8,8.3600,-0.5841,0.282
0.800,9,9.1800,0.8503,0.278
0.800,10,10.0000,-1.3411,0.305
0.800,11,10.8200,0.2327,0.275
0.800,12,11.6400,-1.2377,0.320
0.800,13,12.4600,0.6557,0.266
0.800,14,13.2800,0.3164,0.318
0.800,15,14.1000,1.0512,0.295
0.840,0,1.8000,-1.1357,0.299
0.840,1,2.6200,-0.1266,0.289
0.840,2,3.4400,-0.2911,0.267
0.840,3,4.2600,-0.0388,0.276
0.840,4,5.0800,-0.8032,0.329
0.840,5,5.9000,-1.9796,0.307
0.840,6,6.7200,-0.3530,0.328
0.840,7,7.5400,-1.0173,0.305
0.840,8,8.3600,-0.5787,0.282
0.840,9,9.1800,0.8664,0.278
0.840,10,10.0000,-1.3469,0.305
0.840,11,10.8200,0.2402,0.275
0.840,12,11.6400,-1.2292,0.320
0.840,13,12.4600,0.6437,0.266
0.840,14,13.2800,0.2987,0.318
0.840,15,14.1000,1.0737,0.295
0.880,0,1.8000,-1.1506,0.299
0.880,1,2.6200,-0.1284,0.289
0.880,2,3.4400,-0.2848,0.267
0.880,3,4.2600,-0.0236,0.276
0.880,4,5.0800,-0.8207,0.329
0.880,5,5.9000,-1.9978,0.307
0.880,6,6.7200,-0.3574,0.328
0.880,7,7.5400,-1.0292,0.305
0.880,8,8.3600,-0.5730,0.282
0.880,9,9.1800,0.8821,0.278
0.880,10,10.0000,-1.3531,0.305
0.880,11,10.8200,0.2474,0.275
0.880,12,11.6400,-1.2211,0.320
0.880,13,12.4600,0.6320,0.266
0.880,14,13.2800,0.2812,0.318
0.880,15,14.1000,1.0960,0.295
0.920,0,1.8000,-1.1653,0.299
0.920,1,2.6200,-0.1305,0.289
0.920,2,3.4400,-0.2789,0.267
0.920,3,4.2600,-0.0086,0.276
0.920,4,5.0800,-0.8379,0.329
0.920,5,5.9000,-2.0156,0.307
0.920,6,6.7200,-0.3616,0.328
0.920,7,7.5400,-1.0408,0.305
0.920,8,8.3600,-0.5670,0.282
0.920,9,9.1800,0.8975,0.278
0.920,10,10.0000,-1.3595,0.305
0.920,11,10.8200,0.2544,0.275
0.920,12,11.6400,-1.2134,0.320
0.920,13,12.4600,0.6204,0.266
0.920,14,13.2800,0.2641,0.318
0.920,15,14.1000,1.1182,0.295
0.960,0,1.8000,-1.1798,0.299
0.960,1,2.6200,-0.1328,0.289
0.960,2,3.4400,-0.2733,0.267
0.960,3,4.2600,0.0060,0.276
0.960,4,5.0800,-0.8548,0.329
0.960,5,5.9000,-2.0331,0.307
0.960,6,6.7200,-0.3656,0.328
0.960,7,7.5400,-1.0522,0.305
0.960,8,8.3600,-0.5608,0.282
0.960,9,9.1800,0.9126,0.278
0.960,10,10.0000,-1.3664,0.305
0.960,11,10.8200,0.2610,0.275
0.960,12,11.6400,-1.2059,0.320
0.960,13,12.4600,0.6091,0.266
0.960,14,13.2800,0.2473,0.318
0.960,15,14.1000,1.1401,0.295
1.000,0,1.8000,-1.1940,0.299
1.000,1,2.6200,-0.1355,0.289
1.000,2,3.4400,-0.2680,0.267
1.000,3,4.2600,0.0203,0.276
1.000,4,5.0800,-0.8714,0.329
1.000,5,5.9000,-2.0503,0.307
1.000,6,6.7200,-0.3694,0.328
1.000,7,7.5400,-1.0632,0.305
1.000,8,8.3600,-0.5543,0.282
1.000,9,9.1800,0.9274,0.278
1.000,10,10.0000,-1.3735,0.305
1.000,11,10.8200,0.2674,0.275
1.000,12,11.6400,-1.1988,0.320
