t,x,y,z,exec_clr,status
0.0,0.0,0.0,3.0,7.053754447510532,1
0.02,0.00016979806844836043,0.0,3.0,7.0683889764783885,1
0.04,0.0013288372425408197,0.0,3.0,7.082167600505382,1
0.06,0.004386300109700295,0.0,3.0,7.094328831140562,1
0.08,0.010166450006473055,0.0,3.0,7.10418471475647,1
0.1,0.019411290064429813,0.0,3.0,7.111119150218149,1
0.12000000000000001,0.03278322225606682,0.0,3.0,7.114586350924868,1
0.14,0.050867706440707004,0.0,3.0,7.1141093821357515,1
0.16,0.07417591941040098,0.0,3.0,7.109278720578906,1
0.18,0.10314741393582828,0.0,3.0,7.099750796944821,1
0.19999999999999998,0.13803443895920076,2.492284878968924e-05,3.0000249228487896,7.085344957617989,1
0.21999999999999997,0.17856232245887377,0.0001919743233715851,3.0001919743233714,7.066324742136497,1
0.23999999999999996,0.22430971739909283,0.0006233324727867027,3.0006233324727867,7.039596068344737,1
0.25999999999999995,0.27483336461149344,0.0014202650347719548,3.0014202650347714,6.9943007657149465,1
0.27999999999999997,0.329671362249608,0.0026640687854270688,3.002664068785426,6.944872890544608,1
0.3,0.38839249458801073,0.004443141084700977,3.004443141084693,6.891702914544241,1
0.32,0.4507068124221918,0.006914582478217958,3.006914582478175,6.835028970332596,1
0.34,0.5162899959295991,0.010198905686846475,3.010198905686741,6.7751287699725244,1
0.36000000000000004,0.5847609022365544,0.014357164062115721,3.014357164061938,6.712347054864646,1
0.38000000000000006,0.6557142710617674,0.019398996142487468,3.0193989961422516,6.647063496924005,1
0.4000000000000001,0.7289005687150155,0.025274817751063963,3.025269144377953,6.579530099197976,1
0.4200000000000001,0.8046646797529426,0.0318504292140772,3.031806138403039,6.509478445381301,1
0.4400000000000001,0.8834437131892156,0.03898263971965256,3.038836810257807,6.436563963744237,1
0.46000000000000013,0.9656105111509188,0.046538534205405,3.0462014082968873,6.360504675998014,1
0.48000000000000015,1.0514760972928818,0.05439517314373918,3.053753191295163,6.281079034865322,1
0.5000000000000001,1.140923267193159,0.06233811665143191,3.0615202043053413,6.198515723133812,1
0.5200000000000001,1.23249505313081,0.0698176694034226,3.06996015464612,6.114443250853866,1
0.5400000000000001,1.3247862226886722,0.076359846450064,3.079159961265579,6.0303758715903735,1
0.5600000000000002,1.416747556685018,0.08168778248549474,3.088807908683253,5.94737984702373,1
0.5800000000000002,1.507567059587217,0.0857272377019256,3.0983959331185154,5.866192997174987,1
0.6000000000000002,1.596677074442869,0.08870450256854982,3.107378818051903,5.787186267606143,1
0.6200000000000002,1.6839951449516164,0.09129968391287056,3.1152075292757426,5.710077844919495,1
0.6400000000000002,1.7694599588355346,0.09414184263674012,3.121498633499847,5.634586258541118,1
0.6600000000000003,1.8529172261958604,0.09767568671912738,3.1260742821541667,5.560601319383818,1
0.6800000000000003,1.9341430616263446,0.10215229706452673,3.1289587722084677,5.48817442011492,1
0.7000000000000003,2.0130046265440584,0.10760615776027105,3.1304244270756763,5.417401743156432,1
0.7200000000000003,2.0898751158070916,0.11389408114603208,3.1310268927189235,5.348059058178051,1
0.7400000000000003,2.165196247169616,0.12088301942447496,3.13126686359609,5.279861952603889,1
0.7600000000000003,2.2393306514625104,0.12846818792956266,3.131526317032073,5.2125761725292605,1
0.7800000000000004,2.312555183607108,0.13655352788707154,3.132083366566212,5.146032220674936,1
0.8000000000000004,2.38517399788072,0.14503262777402304,3.1330921958920097,5.080034781630278,1
0.8200000000000004,2.457874372395788,0.1537823081984952,3.1345170985662696,5.014058200135292,1
0.8400000000000004,2.5313801794201236,0.16268427214630848,3.136286115753041,4.947553670983899,1
0.8600000000000004,2.6063375124691057,0.1716296433569306,3.1383322688070954,4.880049459618554,1
0.8800000000000004,2.683317360914549,0.18051868251766426,3.140593416142228,4.811148714631467,1
0.9000000000000005,2.762650028187801,0.18927558258010538,3.1430902826439957,4.74066775763144,1
0.9200000000000005,2.8439270723770145,0.1978827019621976,3.1460329273058623,4.669034647920847,1
0.9400000000000005,2.926526985966887,0.20631852320291744,3.1494184683467275,4.596826684586213,1
